title,genres,director_cast,average_rating,description,cover_url
第六感,剧情|悬疑|惊悚,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...,8.9,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
茶馆,剧情|历史,导演: 谢添 Tian Xie   主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,9.5,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg
爱在黎明破晓前,剧情|爱情,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,8.8,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg
爱在日落黄昏时,剧情|爱情,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,8.9,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2191788134.jpg
被嫌弃的松子的一生,剧情|歌舞,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,8.8,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
哈利·波特与火焰杯,悬疑|奇幻|冒险,导演: 迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif...,8.8,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456904.jpg
头脑特工队,喜剧|动画|冒险,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,8.8,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.jpg
未麻的部屋,剧情|犯罪|动画|悬疑|惊悚,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,9.1,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
重庆森林,剧情|爱情,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,8.8,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
借东西的小人阿莉埃蒂,动画|奇幻|冒险,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...,8.9,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg
菊次郎的夏天,剧情|喜剧,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,8.9,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg
入殓师,剧情,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,8.9,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg
